City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
10,Baruun-Urt,MN,75.79,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
12,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Namatanai,PG,84.0,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
16,Bambanglipuro,ID,76.55,overcast clouds,-7.95,110.2833,Puri Brata
25,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
28,Sinnamary,GF,77.95,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
29,Faanui,PF,77.27,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
30,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
37,Querecotillo,PE,77.07,few clouds,-4.8378,-80.6456,Buongorno Suites Sullana II
38,Hilo,US,84.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Panama City,PA,82.35,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
44,Katsuura,JP,80.98,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
45,Atuona,PF,77.31,few clouds,-9.8,-139.0333,Villa Enata
47,San Diego De Los Banos,CU,80.13,overcast clouds,22.6467,-83.3697,Casa Nalúa - Nalúa Enea
50,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
59,Kavaratti,IN,81.01,overcast clouds,10.5669,72.642,Green leaf
73,Bonthe,SL,76.53,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
75,Vanimo,PG,80.06,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
77,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
78,Dingle,PH,82.0,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
82,Kota Kinabalu,MY,78.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
83,Thinadhoo,MV,81.84,overcast clouds,0.5333,72.9333,
93,Kitimat,CA,75.58,few clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
101,Sarangani,PH,82.54,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
102,Butaritari,KI,81.57,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
123,Tabou,CI,75.24,overcast clouds,4.423,-7.3528,hotêl doufoulougou
128,Lorengau,PG,84.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
