City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,74.1,80,94,23.02,light rain
1,Port Elizabeth,ZA,-33.918,25.5701,52.09,87,0,6.91,clear sky
2,Komsomolskiy,UZ,40.4272,71.7189,79.52,38,0,9.22,clear sky
3,Bathurst,AU,-33.4166,149.5806,56.82,68,87,1.99,overcast clouds
4,Lebu,CL,-37.6167,-73.65,50.99,89,99,11.03,moderate rain
5,Roald,NO,62.5833,6.1333,55.76,82,100,3.44,overcast clouds
6,Riyadh,SA,24.6877,46.7219,93.34,10,33,9.86,scattered clouds
7,Codrington,AU,-38.2667,141.9667,52.11,77,86,13.15,overcast clouds
8,Sangar,RU,63.9242,127.4739,63.86,94,90,3.33,overcast clouds
9,New Norfolk,AU,-42.7826,147.0587,47.91,80,2,3.24,clear sky
10,Baruun-Urt,MN,46.6806,113.2792,75.79,44,98,13.09,overcast clouds
11,Pascagoula,US,30.3658,-88.5561,90.32,74,0,8.05,clear sky
12,Puerto Ayora,EC,-0.7393,-90.3518,75.16,93,53,5.99,broken clouds
13,Moerai,PF,-22.4333,-151.3333,71.49,56,12,21.94,few clouds
14,East London,ZA,-33.0153,27.9116,58.82,77,2,9.01,clear sky
15,Namatanai,PG,-3.6667,152.4333,84.0,68,88,5.91,overcast clouds
16,Bambanglipuro,ID,-7.95,110.2833,76.55,82,98,9.98,overcast clouds
17,Punta Arenas,CL,-53.15,-70.9167,32.11,93,20,20.71,few clouds
18,Tiksi,RU,71.6872,128.8694,42.57,80,92,9.57,overcast clouds
19,Oktyabrskoye,RU,43.0645,44.7417,64.54,93,100,4.47,light rain
20,Cape Town,ZA,-33.9258,18.4232,58.37,81,20,1.99,few clouds
21,Payo,ID,-3.7508,103.6372,73.09,91,93,1.52,overcast clouds
22,Yellowknife,CA,62.456,-114.3525,68.52,40,75,6.91,broken clouds
23,Lagoa,PT,39.05,-27.9833,71.46,89,96,4.59,overcast clouds
24,Vrangel,RU,42.7297,133.0839,65.32,93,100,6.62,overcast clouds
25,Kahului,US,20.8947,-156.47,84.22,66,40,19.57,scattered clouds
26,Moissala,TD,8.3404,17.7663,71.78,90,96,1.92,light rain
27,Ancud,CL,-41.8697,-73.8203,40.23,92,100,4.9,light rain
28,Sinnamary,GF,5.3833,-52.95,77.95,86,33,8.81,scattered clouds
29,Faanui,PF,-16.4833,-151.75,77.27,73,13,10.87,light rain
30,Bathsheba,BB,13.2167,-59.5167,83.01,89,20,20.71,few clouds
