City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,35.71,64,75,47.18,CL,2022-07-20 05:44:53
1,Port Elizabeth,-33.918,25.5701,53.89,96,20,9.22,ZA,2022-07-20 05:44:54
2,Bredasdorp,-34.5322,20.0403,46.85,79,61,1.79,ZA,2022-07-20 05:44:54
3,Naze,28.3667,129.4833,85.12,77,97,17.18,JP,2022-07-20 05:44:55
4,Atuona,-9.8,-139.0333,77.27,76,57,13.58,PF,2022-07-20 05:44:55
5,Kavieng,-2.5744,150.7967,83.25,72,100,6.82,PG,2022-07-20 05:44:56
6,Marystown,47.1666,-55.1483,63.86,100,100,1.01,CA,2022-07-20 05:44:56
7,Husavik,66.0449,-17.3389,45.54,94,100,8.46,IS,2022-07-20 05:44:56
8,Ariquemes,-9.9133,-63.0408,69.22,50,0,2.73,BR,2022-07-20 05:43:54
9,Springdale,36.1867,-94.1288,84.97,61,0,0.0,US,2022-07-20 05:44:57
10,La Sarre,48.8002,-79.1996,59.11,81,100,5.23,CA,2022-07-20 05:40:54
11,Bakel,14.905,-12.4568,72.5,87,88,10.78,SN,2022-07-20 05:44:58
12,Taksimo,56.3444,114.8794,80.08,55,58,4.18,RU,2022-07-20 05:44:06
13,Andenes,69.3143,16.1194,55.38,88,0,5.75,NO,2022-07-20 05:44:59
14,Hilo,19.7297,-155.09,76.73,81,0,3.44,US,2022-07-20 05:43:10
15,Okakarara,-20.5833,17.4333,45.18,58,0,6.35,NA,2022-07-20 05:44:59
16,Hobart,-42.8794,147.3294,49.26,67,20,5.75,AU,2022-07-20 05:40:20
17,Kununurra,-15.7667,128.7333,89.58,25,11,9.22,AU,2022-07-20 05:42:22
18,Vardo,70.3705,31.1107,55.38,94,100,16.11,NO,2022-07-20 05:45:00
19,Mecca,21.4267,39.8261,91.65,36,89,9.28,SA,2022-07-20 05:42:07
20,Hermanus,-34.4187,19.2345,51.03,74,38,8.05,ZA,2022-07-20 05:45:01
21,Ushuaia,-54.8,-68.3,37.06,87,75,13.8,AR,2022-07-20 05:44:10
22,Puerto Ayora,-0.7393,-90.3518,67.55,99,86,7.0,EC,2022-07-20 05:45:02
23,Albany,42.6001,-73.9662,72.54,88,51,5.06,US,2022-07-20 05:44:12
24,Rikitea,-23.1203,-134.9692,74.08,77,4,7.18,PF,2022-07-20 05:43:38
25,Berbera,10.4396,45.0143,90.32,38,100,32.03,SO,2022-07-20 05:45:03
